iter	Passed	Remaining
0	1	124
1	2	133
2	3	127
3	5	120
4	6	118
5	7	116
6	8	114
7	9	112
8	10	110
9	11	107
10	13	106
11	14	104
12	15	104
13	16	102
14	17	100
15	18	98
16	20	99
17	21	98
18	22	96
19	24	96
20	25	95
21	26	93
22	27	92
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	36	82
31	37	80
32	38	78
33	40	77
34	41	76
35	42	75
36	43	74
37	44	73
38	45	71
39	47	70
40	48	69
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	52
55	64	50
56	66	49
57	67	48
58	68	47
59	69	46
60	70	45
61	72	44
62	73	43
63	74	41
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	103	12
89	105	11
90	107	10
91	108	9
92	109	8
93	111	7
94	112	5
95	113	4
96	115	3
97	116	2
98	117	1
99	118	0
