iter	Passed	Remaining
0	116	116284
1	117	58527
2	119	39558
3	120	30054
4	122	24448
5	124	20672
6	126	17887
7	127	15796
8	129	14312
9	131	13018
10	132	11899
11	133	11001
12	135	10268
13	136	9631
14	138	9101
15	139	8594
16	140	8142
17	142	7748
18	143	7408
19	144	7085
20	145	6782
21	146	6509
22	147	6259
23	148	6025
24	149	5822
25	150	5633
26	151	5448
27	152	5278
28	152	5117
29	153	4963
30	154	4818
31	155	4693
32	156	4578
33	157	4475
34	158	4368
35	159	4263
36	160	4164
37	161	4083
38	162	3996
39	163	3912
40	163	3835
41	164	3760
42	165	3682
43	166	3609
44	167	3548
45	168	3484
46	168	3422
47	169	3362
48	170	3313
49	172	3269
50	173	3222
51	174	3173
52	174	3124
53	175	3075
54	176	3027
55	176	2983
56	177	2942
57	178	2900
58	179	2859
59	180	2821
60	180	2783
61	181	2747
62	182	2710
63	183	2679
64	183	2644
65	184	2611
66	185	2582
67	186	2556
68	187	2532
69	188	2505
70	189	2477
71	190	2450
72	191	2429
73	192	2409
74	193	2386
75	194	2361
76	194	2336
77	195	2313
78	196	2290
79	197	2267
80	197	2246
81	198	2225
82	199	2200
83	199	2180
84	201	2165
85	202	2150
86	203	2131
87	203	2112
88	204	2098
89	205	2080
90	206	2062
91	207	2045
92	207	2028
93	208	2012
94	209	1995
95	210	1979
96	211	1967
97	211	1951
98	212	1935
99	213	1921
100	214	1906
101	215	1892
102	216	1882
103	217	1871
104	218	1859
105	218	1846
106	219	1832
107	220	1820
108	221	1807
109	221	1795
110	222	1784
111	223	1772
112	224	1761
113	225	1750
114	226	1739
115	226	1728
116	227	1716
117	228	1704
118	228	1693
119	229	1682
120	230	1676
121	231	1667
122	232	1658
123	233	1648
124	234	1638
125	234	1629
126	235	1620
127	236	1610
128	237	1604
129	238	1594
130	238	1585
131	239	1575
132	240	1566
133	240	1556
134	241	1548
135	242	1539
136	243	1532
137	244	1524
138	245	1519
139	246	1512
140	247	1505
141	247	1496
142	248	1488
143	249	1480
144	249	1473
145	250	1465
146	251	1458
147	252	1451
148	252	1443
149	253	1436
150	254	1429
151	254	1422
152	255	1415
153	256	1408
154	257	1401
155	257	1394
156	258	1388
157	259	1381
158	260	1378
159	261	1372
160	262	1365
161	262	1359
162	263	1353
163	264	1347
164	265	1341
165	265	1336
166	266	1330
167	267	1324
168	268	1318
169	268	1313
170	269	1307
171	270	1302
172	271	1296
173	272	1291
174	272	1286
175	273	1280
176	274	1275
177	275	1271
178	276	1267
179	277	1263
180	278	1258
181	278	1253
182	279	1248
183	280	1243
184	281	1239
185	282	1234
186	282	1230
187	283	1225
188	284	1221
189	285	1216
190	286	1211
191	286	1207
192	287	1202
193	288	1198
194	289	1193
195	290	1189
196	291	1187
197	292	1183
198	292	1179
199	293	1175
200	294	1172
201	295	1167
202	296	1163
203	296	1158
204	297	1154
205	298	1149
206	299	1145
207	299	1141
208	300	1138
209	301	1134
210	302	1130
211	303	1126
212	303	1122
213	304	1119
214	305	1116
215	306	1113
216	307	1109
217	308	1106
